,Destino,Ida,Volta,Preco
0,Berlim,2022-07-01,2022-07-08,R$ 9.923
1,Berlim,2022-07-03,2022-07-10,R$ 8.888
2,Berlim,2022-07-06,2022-07-13,R$ 8.275
3,Berlim,2022-07-09,2022-07-16,R$ 9.867
4,Berlim,2022-07-12,2022-07-19,R$ 8.714
5,Berlim,2022-07-15,2022-07-22,R$ 8.682
6,Berlim,2022-07-18,2022-07-25,R$ 9.003
7,Berlim,2022-07-21,2022-07-28,R$ 8.039
8,Berlim,2022-08-01,2022-08-08,R$ 7.344
9,Berlim,2022-08-03,2022-08-10,R$ 7.134
10,Berlim,2022-08-06,2022-08-13,R$ 7.627
11,Berlim,2022-08-09,2022-08-16,R$ 6.798
12,Berlim,2022-08-12,2022-08-19,R$ 6.489
13,Berlim,2022-08-15,2022-08-22,R$ 6.028
14,Berlim,2022-08-18,2022-08-25,R$ 5.743
15,Berlim,2022-08-21,2022-08-28,R$ 6.279
16,Berlim,2022-09-01,2022-09-08,R$ 6.147
17,Berlim,2022-09-03,2022-09-10,R$ 6.150
18,Berlim,2022-09-06,2022-09-13,R$ 5.408
19,Berlim,2022-09-09,2022-09-16,R$ 5.408
20,Berlim,2022-09-12,2022-09-19,R$ 5.120
21,Berlim,2022-09-15,2022-09-22,R$ 5.230
22,Berlim,2022-09-18,2022-09-25,R$ 5.694
23,Berlim,2022-09-21,2022-09-28,R$ 6.033
24,Berlim,2022-10-01,2022-10-08,R$ 5.034
25,Berlim,2022-10-03,2022-10-10,R$ 4.783
26,Berlim,2022-10-06,2022-10-13,R$ 4.716
27,Berlim,2022-10-09,2022-10-16,R$ 4.572
28,Berlim,2022-10-12,2022-10-19,R$ 4.141
29,Berlim,2022-10-15,2022-10-22,R$ 5.408
30,Berlim,2022-10-18,2022-10-25,R$ 3.797
31,Berlim,2022-10-21,2022-10-28,R$ 3.998
32,Berlim,2022-11-01,2022-11-08,R$ 3.682
33,Berlim,2022-11-03,2022-11-10,R$ 3.682
34,Berlim,2022-11-06,2022-11-13,R$ 3.878
35,Berlim,2022-11-09,2022-11-16,R$ 3.916
36,Berlim,2022-11-12,2022-11-19,R$ 4.643
37,Berlim,2022-11-15,2022-11-22,R$ 3.823
38,Berlim,2022-11-18,2022-11-25,R$ 3.612
39,Berlim,2022-11-21,2022-11-28,R$ 3.414
40,Berlim,2022-12-01,2022-12-08,R$ 3.682
41,Berlim,2022-12-03,2022-12-10,R$ 5.120
42,Berlim,2022-12-06,2022-12-13,R$ 4.840
43,Berlim,2022-12-09,2022-12-16,R$ 5.870
44,Berlim,2022-12-12,2022-12-19,R$ 4.889
45,Berlim,2022-12-15,2022-12-22,R$ 6.273
46,Berlim,2022-12-18,2022-12-25,R$ 5.286
47,Berlim,2022-12-21,2022-12-28,R$ 5.202
