,Destino,Ida,Volta,Preco
0,Berlim,2023-01-01,2023-01-08,R$ 6.118
1,Berlim,2023-01-11,2023-01-18,R$ 4.448
2,Berlim,2023-01-21,2023-01-28,R$ 4.190
3,Berlim,2023-02-01,2023-02-08,R$ 3.253
4,Berlim,2023-02-11,2023-02-18,R$ 3.329
5,Berlim,2023-02-21,2023-02-28,R$ 4.036
6,Berlim,2023-03-01,2023-03-08,R$ 3.122
7,Berlim,2023-03-11,2023-03-18,R$ 3.172
8,Berlim,2023-03-21,2023-03-28,R$ 3.460
9,Berlim,2023-04-01,2023-04-08,R$ 4.216
10,Berlim,2023-04-11,2023-04-18,R$ 2.992
11,Berlim,2023-04-21,2023-04-28,R$ 3.356
12,Berlim,2023-05-01,2023-05-08,R$ 3.639
13,Berlim,2023-05-11,2023-05-18,R$ 3.639
